Entity	Year	all years
France	1950	41883122
France	1951	42333662
France	1952	42780274
France	1953	43227873
France	1954	43676898
France	1955	44136093
France	1956	44588525
France	1957	45036374
France	1958	45493502
France	1959	45963766
France	1960	46428136
France	1961	46893841
France	1962	47352626
France	1963	47817823
France	1964	48319087
France	1965	48772824
France	1966	49184651
France	1967	49574907
France	1968	49947252
France	1969	50355300
France	1970	50813071
France	1971	51293056
France	1972	51743877
France	1973	52162210
France	1974	52504744
France	1975	52746324
France	1976	52959120
France	1977	53197133
France	1978	53429668
France	1979	53660898
France	1980	53941061
France	1981	54255004
France	1982	54582405
France	1983	54889407
France	1984	55176626
France	1985	55467153
France	1986	55752833
France	1987	56048366
France	1988	56361846
France	1989	56685081
France	1990	56990239
France	1991	57271564
France	1992	57554867
France	1993	57801261
France	1994	57999868
France	1995	58192207
France	1996	58380638
France	1997	58568662
France	1998	58778817
France	1999	59084209
France	2000	59483716
France	2001	59905131
France	2002	60327247
France	2003	60741119
France	2004	61175244
France	2005	61625031
France	2006	62049831
France	2007	62432438
France	2008	62780187
France	2009	63106460
France	2010	63417366
France	2011	63733776
France	2012	64058465
France	2013	64387736
France	2014	64692495
France	2015	64916337
France	2016	65086853
France	2017	65284775
France	2018	65519537
France	2019	65729460
France	2020	65905273
France	2021	66083547
France	2022	66277412
France	2023	66438828
