Entity,Code,Year,all years
Spain,ESP,1950,28077048
Spain,ESP,1951,28214862
Spain,ESP,1952,28406044
Spain,ESP,1953,28632701
Spain,ESP,1954,28857828
Spain,ESP,1955,29089774
Spain,ESP,1956,29323672
Spain,ESP,1957,29569970
Spain,ESP,1958,29849658
Spain,ESP,1959,30140710
Spain,ESP,1960,30404938
Spain,ESP,1961,30699568
Spain,ESP,1962,31040106
Spain,ESP,1963,31379831
Spain,ESP,1964,31741586
Spain,ESP,1965,32110669
Spain,ESP,1966,32465887
Spain,ESP,1967,32820751
Spain,ESP,1968,33170121
Spain,ESP,1969,33496941
Spain,ESP,1970,33812720
Spain,ESP,1971,34157447
Spain,ESP,1972,34539861
Spain,ESP,1973,34926521
Spain,ESP,1974,35361763
Spain,ESP,1975,35795771
Spain,ESP,1976,36176273
Spain,ESP,1977,36551267
Spain,ESP,1978,36904970
Spain,ESP,1979,37230370
Spain,ESP,1980,37537560
Spain,ESP,1981,37812708
Spain,ESP,1982,38047097
Spain,ESP,1983,38253247
Spain,ESP,1984,38437483
Spain,ESP,1985,38601315
Spain,ESP,1986,38735706
Spain,ESP,1987,38852007
Spain,ESP,1988,38952258
Spain,ESP,1989,39029557
Spain,ESP,1990,39084975
Spain,ESP,1991,39201750
Spain,ESP,1992,39420344
Spain,ESP,1993,39651627
Spain,ESP,1994,39858721
Spain,ESP,1995,40052733
Spain,ESP,1996,40237375
Spain,ESP,1997,40423823
Spain,ESP,1998,40617436
Spain,ESP,1999,40812855
Spain,ESP,2000,41019772
Spain,ESP,2001,41245602
Spain,ESP,2002,41755703
Spain,ESP,2003,42506540
Spain,ESP,2004,43234562
Spain,ESP,2005,43958883
Spain,ESP,2006,44695446
Spain,ESP,2007,45516501
Spain,ESP,2008,46235055
Spain,ESP,2009,46635182
Spain,ESP,2010,46840469
Spain,ESP,2011,46998040
Spain,ESP,2012,47018323
Spain,ESP,2013,46860394
Spain,ESP,2014,46720187
Spain,ESP,2015,46683683
Spain,ESP,2016,46732768
Spain,ESP,2017,46868594
Spain,ESP,2018,47092817
Spain,ESP,2019,47435121
Spain,ESP,2020,47679482
Spain,ESP,2021,47735670
Spain,ESP,2022,47828386
Spain,ESP,2023,47911583
